team,player_star_total_ppg,player_star_avg_efficiency,player_star_ppg_1,player_star_ppg_2,player_star_ppg_3,player_scoring_concentration,player_top_scorer_share,player_balanced_scoring,player_bench_ppg,player_bench_depth_score,player_bench_contributors,player_key_player_ast_tov,player_key_player_reb_pg,player_key_player_usage
Michigan,39.26086956521739,0.39387744849143624,14.608695652173912,13.565217391304348,11.08695652173913,0.10609773945588377,0.15496050403158654,0.8939022605441163,69.14323671497584,60.40026570048309,6,1.3245614035087718,7.159420289855073,0.39714285714285713
Duke,49.93333333333334,0.3786585481443494,23.566666666666666,15.266666666666667,11.1,0.1542993216490431,0.2765624529834802,0.8457006783509569,37.712820512820514,36.39897435897436,5,1.4383561643835616,6.244444444444444,0.5390758699372504
Virginia,41.63333333333333,0.311233074548321,17.433333333333334,13.7,10.5,0.12107804502645107,0.19936492979866033,0.878921954973549,43.61099978452919,40.52769984917043,5,1.0,4.866666666666667,0.49542272482498656
Louisville,47.016666666666666,0.28660839074913286,19.0,16.25,11.766666666666667,0.12050968530564742,0.19415234027084388,0.8794903146943526,39.775665668566276,33.84296596799639,3,1.5737704918032787,3.695634920634921,0.48120300751879697
Clemson,33.38709677419355,0.3432554252832159,12.225806451612904,10.903225806451612,10.258064516129032,0.10788563530619907,0.151319218782925,0.8921143646938009,49.181899641577054,46.42732974910393,6,1.2173913043478262,4.268817204301075,0.42592592592592593
NC State,44.66559139784946,0.3176015280168784,16.0,14.633333333333333,14.03225806451613,0.10421399050531936,0.1438710192441112,0.8957860094946807,39.03330316636769,35.32331221645738,4,2.2158273381294964,4.175985663082437,0.3512221041445271
North Carolina,51.452380952380956,0.3690667842493894,20.1,16.733333333333334,14.619047619047619,0.1323105210774641,0.21796050382232432,0.8676894789225359,40.76616161616162,34.53631313131313,3,1.539568345323741,7.48888888888889,0.4926027397260274
SMU,49.803320561941256,0.3248798118100689,19.14814814814815,16.310344827586206,14.344827586206897,0.1448332287689782,0.21472529703593737,0.8551667712310218,18.302806061653612,14.811964243157528,1,1.9508196721311475,4.761600681140911,0.5756395995550612
Ohio State,48.03333333333333,0.3296925486012111,19.08,15.12,13.833333333333334,0.1456585524848097,0.22250289130348502,0.8543414475151903,16.55502801120448,13.588519607843136,1,1.6050420168067228,4.459444444444444,0.5772413793103448
Miami,50.54838709677419,0.36538903051458504,19.64516129032258,16.322580645161292,14.580645161290322,0.13805101430396954,0.21640779597664966,0.8619489856960305,22.089654968687228,19.462758478081057,2,1.497584541062802,4.774193548387097,0.567907995618839
Virginia Tech,40.44034090909091,0.3122310286036465,14.59375,13.909090909090908,11.9375,0.11970243203161215,0.15927046335905956,0.8802975679683879,11.203174603174602,9.842222222222222,1,1.3717948717948718,4.642361111111112,0.49674837418709356
California,45.377085650723025,0.3089504982563937,16.193548387096776,15.344827586206897,13.838709677419354,0.13494401326813935,0.19074803269729712,0.8650559867318607,27.227561106505547,23.05929277455388,2,1.7357142857142858,3.2929180571004815,0.5829596412556054
Wake Forest,44.479166666666664,0.30199666436376477,21.25,12.0625,11.166666666666666,0.138605430515024,0.25479007215828897,0.8613945694849761,28.547827060931898,25.983478942652326,3,1.2164948453608246,4.139583333333333,0.5266362252663622
Syracuse,41.884366467792496,0.303997334858555,18.318181818181817,12.275862068965518,11.290322580645162,0.12455791988334491,0.21117698684279682,0.8754420801166551,26.697610513739548,24.68832735961768,3,1.219298245614035,4.606953854451073,0.4724540901502504
Baylor,47.766666666666666,0.29969704107114287,19.38095238095238,17.285714285714285,11.1,0.12802869582338394,0.2043121407595191,0.8719713041766161,28.17857142857143,25.725,3,1.4017857142857142,4.624603174603174,0.5737451737451738
Stanford,44.16664018221304,0.3152152929607659,21.344827586206897,13.047619047619047,9.774193548387096,0.13659751665239148,0.25664258011203084,0.8634024833476085,39.00283067055563,33.30198146938894,3,1.53125,3.138955100022953,0.4931731294374659
Notre Dame,45.39635263929618,0.3123241839543965,18.09090909090909,15.774193548387096,11.53125,0.1226036140397849,0.20407290418853624,0.8773963859602151,36.752893387974034,31.72702537158182,3,1.1523178807947019,3.070381231671554,0.4401523394994559
Florida State,38.53763440860215,0.2933822958532459,14.709677419354838,12.666666666666666,11.161290322580646,0.11481027219059747,0.17654329794642687,0.8851897278094025,36.266745411413396,31.386721787989377,3,1.3736263736263736,4.515412186379929,0.48291687914329423
Pitt,36.20535714285714,0.30193158401813786,12.392857142857142,11.90625,11.90625,0.13099347521693103,0.1643346891953757,0.869006524783069,19.456944444444446,17.619861111111113,2,1.0078740157480315,4.831845238095238,0.45387840670859536
Georgia Tech,39.9676883780332,0.31730554718689863,15.9,12.481481481481481,11.586206896551724,0.11780268996166568,0.18666612268746036,0.8821973100383343,36.590441621294616,31.61330913490623,3,1.3967391304347827,5.747807577692636,0.49064906490649063
Boston College,39.793103448275865,0.28175685199021955,16.06896551724138,13.827586206896552,9.89655172413793,0.14469225923177556,0.23306245464470873,0.8553077407682245,25.533243182330402,21.87327022763128,2,1.1567164179104477,4.758620689655172,0.5971223021582733
