team,off_efficiency,def_efficiency,wins,losses,ppg,opp_ppg,pace,power_rating,win_pct,momentum_win_streak,momentum_loss_streak,momentum_recent_win_pct,momentum_recent_avg_margin,momentum_games_played,blowout_avg_margin_victory,blowout_avg_margin_defeat,blowout_blowout_win_rate,blowout_blowout_loss_rate,blowout_close_game_win_rate,home_court_advantage,hasla_offensive_eff,hasla_rank
Michigan,126.89026980461296,89.99809941384467,19.0,1.0,88.82318886322906,62.99866958969127,70.0,36.892170390768285,0.95,0,2,0.4,-6.8,183,14.77570093457944,-10.25,0.2513661202185792,0.1092896174863388,0.4565217391304347,10.0,129.72,1.0
Duke,124.99509370656408,93.86901314622082,19.0,1.0,87.49656559459486,65.70830920235457,70.0,31.126080560343254,0.95,5,0,1.0,30.4,184,19.0625,-7.7,0.4402173913043478,0.0326086956521739,0.4736842105263157,10.0,127.72,2.0
Virginia,125.7441893052886,98.16043143718252,17.0,3.0,88.02093251370202,68.71230200602776,70.0,27.583757868106076,0.85,1,0,0.6,2.2,180,12.107438016528926,-12.016949152542374,0.2,0.1222222222222222,0.6923076923076923,10.0,125.88,14.0
Louisville,125.2459946513662,98.83068567058793,14.0,6.0,87.67219625595634,69.18147996941154,70.0,26.41530898077828,0.7,5,0,1.0,12.2,175,13.96551724137931,-13.715909090909092,0.2057142857142857,0.1942857142857142,0.6071428571428571,9.330344827586206,125.33,18.0
Clemson,116.93672694655729,94.6257072705002,17.0,4.0,81.85570886259009,66.23799508935014,70.0,22.31101967605709,0.8095238095238095,5,0,1.0,13.0,181,13.83898305084746,-9.174603174603174,0.2541436464088398,0.0773480662983425,0.4791666666666667,5.529411764705882,117.33,34.0
NC State,121.48726173382414,99.26293209442552,15.0,6.0,85.0410832136769,69.48405246609786,70.0,22.22432963939862,0.7142857142857143,0,1,0.4,-4.2,183,13.697916666666666,-10.06896551724138,0.2131147540983606,0.0983606557377049,0.4666666666666667,9.592705167173252,124.24,30.0
North Carolina,122.8323986295261,101.62305118021264,16.0,4.0,85.98267904066826,71.13613582614884,70.0,21.209347449313455,0.8,1,0,0.8,12.6,187,13.932773109243698,-9.058823529411764,0.2620320855614973,0.0641711229946524,0.4222222222222222,9.76625386996904,125.16,25.0
SMU,124.61130473731922,104.19492148362156,15.0,5.0,87.22791331612345,72.93644503853508,70.0,20.41638325369766,0.75,0,1,0.4,-3.2,169,14.759615384615383,-10.553846153846154,0.2603550295857988,0.1183431952662721,0.5,10.0,123.41,42.0
Ohio State,122.19526836532744,103.48503670432248,14.0,6.0,85.5366878557292,72.43952569302573,70.0,18.71023166100495,0.7,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,125.23,39.0
Miami,118.00615459955394,100.79282904609812,17.0,4.0,82.60430821968775,70.55498033226868,70.0,17.213325553455817,0.8095238095238095,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,120.72,47.0
Virginia Tech,114.67699166164849,101.58019655803706,16.0,6.0,80.27389416315394,71.10613759062593,70.0,13.096795103611427,0.7272727272727273,0,2,0.4,-7.2,179,15.08080808080808,-10.775,0.2346368715083799,0.1340782122905028,0.4897959183673469,10.0,116.16,60.0
California,112.23875977221267,100.1712637625231,15.0,6.0,78.56713184054887,70.11988463376616,70.0,12.067496009689576,0.7142857142857143,0,2,0.2,-3.4,185,10.523809523809524,-12.868852459016392,0.0864864864864864,0.2378378378378378,0.3958333333333333,10.0,116.43,57.0
Wake Forest,114.48932985894592,102.60106601220636,11.0,10.0,80.14253090126213,71.82074620854445,70.0,11.888263846739562,0.5238095238095238,1,0,0.4,-4.8,177,13.59,-10.376623376623376,0.2259887005649717,0.1016949152542373,0.5,10.0,114.76,83.0
Syracuse,114.07053106048042,102.29767012686683,12.0,9.0,79.84937174233629,71.60836908880678,70.0,11.772860933613586,0.5714285714285714,1,0,0.4,1.8,184,12.98,-11.833333333333334,0.1739130434782608,0.1576086956521739,0.4509803921568627,8.428571428571429,115.06,68.0
Baylor,120.41034203586152,108.30204906361116,11.0,9.0,84.28723942510305,75.81143434452781,70.0,12.108292972250354,0.55,0,1,0.4,1.0,186,17.11888111888112,-9.27906976744186,0.3440860215053763,0.0483870967741935,0.5853658536585366,10.0,119.64,55.0
Stanford,113.9788818195491,103.00668699697204,14.0,7.0,79.78521727368437,72.10468089788041,70.0,10.972194822577066,0.6666666666666666,0,2,0.6,1.2,182,13.610526315789471,-11.275862068965518,0.2032967032967033,0.1208791208791208,0.375,10.0,115.34,73.0
Notre Dame,113.85508530366629,104.51097201635132,11.0,10.0,79.6985597125664,73.15768041144592,70.0,9.344113287314968,0.5238095238095238,2,0,0.6,-2.0,181,11.539325842696629,-9.445652173913045,0.154696132596685,0.0994475138121546,0.4615384615384615,10.0,114.55,88.0
Florida State,112.6639989979981,105.51452108796056,9.0,12.0,78.86479929859867,73.86016476157239,70.0,7.149477910037547,0.4285714285714285,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,114.65,89.0
Pitt,114.29810510644646,107.11168389995944,9.0,12.0,80.00867357451251,74.9781787299716,70.0,7.186421206487012,0.4285714285714285,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,117.63699009854852,200.0
Georgia Tech,108.21587810850716,104.92952987208278,11.0,10.0,75.75111467595501,73.45067091045794,70.0,3.2863482364243737,0.5238095238095238,0,1,0.6,1.0,183,12.0989010989011,-11.880434782608695,0.1857923497267759,0.1475409836065573,0.5490196078431373,9.270848182466144,109.45,131.0
Boston College,102.16506136325756,100.5640798640042,9.0,11.0,71.51554295428029,70.39485590480294,70.0,1.6009814992533649,0.45,0,4,0.2,-9.8,176,10.32876712328767,-13.300970873786408,0.125,0.2329545454545454,0.5208333333333334,3.5,103.94,155.0
