n_estimators,max_depth,learning_rate,ridge_weight,lgbm_weight,mean_mae,std_mae
100,8,0.1,0.3,0.7,4.971654190148554,0.3286588975276265
150,8,0.1,0.3,0.7,4.973179432563616,0.32623490239156655
150,8,0.05,0.3,0.7,4.98444102245122,0.3252794493206471
150,8,0.15,0.3,0.7,4.99582063508177,0.35548296597542134
100,8,0.05,0.3,0.7,5.010939140395054,0.3105842446634018
50,8,0.1,0.3,0.7,5.014722542535318,0.29830927279384395
100,8,0.15,0.3,0.7,5.023568643607311,0.34497189889584007
50,8,0.15,0.3,0.7,5.056616534635871,0.3201805376203597
150,8,0.1,0.4,0.6,5.079917563741972,0.2893254364126029
100,8,0.1,0.4,0.6,5.08122996042187,0.29097255920224335
150,8,0.05,0.4,0.6,5.093695713492366,0.28622492283017115
150,8,0.15,0.4,0.6,5.095001095586058,0.31290722883872796
100,8,0.05,0.4,0.6,5.117119481977083,0.27355235756929136
50,8,0.1,0.4,0.6,5.120607357463103,0.26360441278381846
100,8,0.15,0.4,0.6,5.121645080436425,0.30494390139878946
50,8,0.15,0.4,0.6,5.1527068210544495,0.28316047125901883
50,8,0.05,0.3,0.7,5.160750290805209,0.3064537401826643
150,8,0.1,0.5,0.5,5.20454682563663,0.25445350423220525
100,8,0.1,0.5,0.5,5.2069724141515294,0.2554766162832539
150,8,0.15,0.5,0.5,5.213965359417706,0.2740313948652446
150,8,0.05,0.5,0.5,5.218420671617875,0.2512090815280902
100,8,0.15,0.5,0.5,5.237804645688438,0.26847716067988914
100,8,0.05,0.5,0.5,5.239130544330118,0.24182185426240732
50,8,0.1,0.5,0.5,5.241138484319096,0.2322645112283255
50,8,0.05,0.4,0.6,5.242995822061409,0.2752126438883914
50,8,0.15,0.5,0.5,5.265144854300226,0.24827738968041488
150,6,0.15,0.3,0.7,5.312285966156612,0.2795153389490146
50,8,0.05,0.5,0.5,5.339855389070371,0.24662643313123447
150,6,0.05,0.3,0.7,5.346320197596332,0.21895766381852355
100,6,0.15,0.3,0.7,5.35872885678136,0.25045422240463444
150,6,0.15,0.4,0.6,5.372630067230473,0.25254651334110323
150,6,0.1,0.3,0.7,5.3739699499185125,0.2579429293031734
50,6,0.15,0.3,0.7,5.382903587732313,0.22550739170043296
100,6,0.05,0.3,0.7,5.383848540101732,0.1991347612228104
100,6,0.1,0.3,0.7,5.3987506163350565,0.23830601037063032
50,6,0.1,0.3,0.7,5.411123393747698,0.22942511472193844
150,6,0.05,0.4,0.6,5.4152861121400395,0.20246490204443038
100,6,0.15,0.4,0.6,5.417081727664701,0.2278470518343096
150,6,0.1,0.4,0.6,5.434363213098826,0.23324791881648194
50,6,0.15,0.4,0.6,5.442587460513497,0.2064635397176588
100,6,0.05,0.4,0.6,5.4482164890124505,0.18650202000600358
150,6,0.15,0.5,0.5,5.449548213010894,0.2263145376192957
100,6,0.1,0.4,0.6,5.458643060824842,0.2169722644943249
50,6,0.1,0.4,0.6,5.471703581015231,0.2104487778936946
100,6,0.15,0.5,0.5,5.4894750311764735,0.20839165349943803
150,6,0.05,0.5,0.5,5.4957557385762055,0.18870868567737004
150,6,0.1,0.5,0.5,5.506800698926498,0.21143203279365588
50,6,0.05,0.3,0.7,5.513534641551931,0.2146005940915269
50,6,0.15,0.5,0.5,5.51430681039862,0.19184044203587644
100,6,0.05,0.5,0.5,5.523251583673583,0.1766152927166786
100,6,0.1,0.5,0.5,5.5284666133395035,0.19932813612795322
50,6,0.1,0.5,0.5,5.541979879499733,0.19596196194649756
50,6,0.05,0.4,0.6,5.554229761754966,0.203482671433414
50,6,0.05,0.5,0.5,5.605330706481775,0.19384393082957796
150,4,0.1,0.3,0.7,5.742811219851773,0.20802331365169624
150,4,0.1,0.4,0.6,5.760094974424937,0.1968005741597322
100,4,0.15,0.3,0.7,5.760364985558665,0.22598088934765523
150,4,0.15,0.3,0.7,5.7624292999849995,0.24254072355538964
100,4,0.1,0.3,0.7,5.765615880619532,0.194289708410798
150,4,0.05,0.3,0.7,5.769960955570998,0.20325182300597724
150,4,0.15,0.4,0.6,5.77147555377555,0.22402139517518146
100,4,0.15,0.4,0.6,5.774273680479693,0.2113940943288041
100,4,0.1,0.4,0.6,5.781590004951978,0.1867400933406405
150,4,0.05,0.4,0.6,5.784912016357341,0.1939441435016566
150,4,0.1,0.5,0.5,5.7850669121262275,0.18854163619362008
150,4,0.15,0.5,0.5,5.790124148236987,0.20897402023511882
50,4,0.15,0.3,0.7,5.790908342370048,0.205768663290342
100,4,0.15,0.5,0.5,5.794958643928694,0.19926418467428894
50,4,0.15,0.4,0.6,5.801069776428833,0.19592649637804974
100,4,0.05,0.3,0.7,5.801790596427055,0.2006009783833655
50,4,0.1,0.3,0.7,5.803481037212968,0.1902687936607744
100,4,0.1,0.5,0.5,5.804162294052184,0.1811240056627257
150,4,0.05,0.5,0.5,5.806775632146446,0.18667108204058125
100,4,0.05,0.4,0.6,5.811219746656187,0.1926699942191554
50,4,0.1,0.4,0.6,5.8127584923999684,0.18446226834079488
50,4,0.15,0.5,0.5,5.818669360379408,0.18698056100105356
100,4,0.05,0.5,0.5,5.827640497553291,0.18599444514070637
50,4,0.1,0.5,0.5,5.828801952470372,0.18017977996629245
50,4,0.05,0.5,0.5,5.883321181890764,0.20767835128825432
50,4,0.05,0.4,0.6,5.891357495013359,0.2187137260265609
50,4,0.05,0.3,0.7,5.910439826768124,0.2301821754243088
